epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.9462,0.60996,0.64557,1,0.61353,0.000234551,0.000234551,0.000234551
2,91.6622,0.50345,0.78481,1,0.50891,0.000465868,0.000465868,0.000465868
3,135.145,0.518,0.74051,1,0.47589,0.000690452,0.000690452,0.000690452
4,178.781,0.4827,0.77848,1,0.4465,0.000683706,0.000683706,0.000683706
5,221.724,0.46754,0.81646,1,0.3568,0.000673608,0.000673608,0.000673608
6,264.753,0.44727,0.74684,1,0.50768,0.00066351,0.00066351,0.00066351
7,309.461,0.47237,0.79747,1,0.414,0.000653412,0.000653412,0.000653412
8,364.162,0.44497,0.67089,1,0.66584,0.000643314,0.000643314,0.000643314
9,421.687,0.4381,0.77215,1,0.45144,0.000633216,0.000633216,0.000633216
10,481.407,0.43952,0.86709,1,0.35906,0.000623118,0.000623118,0.000623118
11,543.834,0.4023,0.8481,1,0.34567,0.00061302,0.00061302,0.00061302
12,606.562,0.40349,0.83544,1,0.3385,0.000602922,0.000602922,0.000602922
13,665.959,0.39268,0.8481,1,0.32313,0.000592824,0.000592824,0.000592824
14,728.746,0.36546,0.82278,1,0.37023,0.000582726,0.000582726,0.000582726
15,789.795,0.3625,0.83544,1,0.32974,0.000572628,0.000572628,0.000572628
16,851.264,0.38681,0.90506,1,0.24683,0.00056253,0.00056253,0.00056253
17,905.339,0.34475,0.86709,1,0.30065,0.000552432,0.000552432,0.000552432
18,949.169,0.35117,0.88608,1,0.25311,0.000542334,0.000542334,0.000542334
19,1004.9,0.32698,0.85443,1,0.30521,0.000532236,0.000532236,0.000532236
20,1056.84,0.34999,0.87342,1,0.28878,0.000522138,0.000522138,0.000522138
21,1115.44,0.3138,0.87975,1,0.27741,0.00051204,0.00051204,0.00051204
22,1177.43,0.30322,0.86709,1,0.33052,0.000501942,0.000501942,0.000501942
23,1234.04,0.30531,0.86076,1,0.27608,0.000491844,0.000491844,0.000491844
24,1277.38,0.28946,0.89873,1,0.21781,0.000481746,0.000481746,0.000481746
25,1320.63,0.28677,0.89241,1,0.2015,0.000471648,0.000471648,0.000471648
26,1364.1,0.2855,0.88608,1,0.232,0.00046155,0.00046155,0.00046155
27,1407.17,0.25869,0.8481,1,0.28156,0.000451452,0.000451452,0.000451452
28,1450.72,0.25973,0.84177,1,0.32103,0.000441354,0.000441354,0.000441354
29,1493.9,0.25555,0.86076,1,0.35813,0.000431256,0.000431256,0.000431256
30,1537.65,0.28674,0.89241,1,0.21404,0.000421158,0.000421158,0.000421158
31,1580.88,0.27873,0.88608,1,0.27767,0.00041106,0.00041106,0.00041106
32,1624.2,0.24754,0.92405,1,0.15425,0.000400962,0.000400962,0.000400962
33,1667.38,0.24238,0.91772,1,0.16386,0.000390864,0.000390864,0.000390864
34,1710.9,0.23368,0.91772,1,0.15933,0.000380766,0.000380766,0.000380766
35,1753.93,0.25635,0.90506,1,0.15451,0.000370668,0.000370668,0.000370668
36,1797.36,0.2687,0.89873,1,0.21062,0.00036057,0.00036057,0.00036057
37,1840.37,0.24499,0.91139,1,0.22183,0.000350472,0.000350472,0.000350472
38,1883.71,0.20857,0.90506,1,0.20818,0.000340374,0.000340374,0.000340374
39,1926.83,0.22129,0.91772,1,0.16623,0.000330276,0.000330276,0.000330276
40,1970.08,0.24113,0.93671,1,0.17493,0.000320178,0.000320178,0.000320178
41,2012.97,0.21661,0.93671,1,0.20581,0.00031008,0.00031008,0.00031008
42,2056.14,0.23385,0.92405,1,0.19175,0.000299982,0.000299982,0.000299982
43,2098.97,0.2073,0.93671,1,0.18664,0.000289884,0.000289884,0.000289884
44,2142.17,0.21056,0.89873,1,0.1752,0.000279786,0.000279786,0.000279786
45,2185.09,0.20259,0.93038,1,0.1716,0.000269688,0.000269688,0.000269688
46,2228.14,0.19167,0.91139,1,0.17623,0.00025959,0.00025959,0.00025959
47,2271.06,0.19171,0.92405,1,0.17,0.000249492,0.000249492,0.000249492
48,2314.36,0.17981,0.91139,1,0.18959,0.000239394,0.000239394,0.000239394
49,2357.14,0.1773,0.91772,1,0.14648,0.000229296,0.000229296,0.000229296
50,2400.3,0.18051,0.94304,1,0.13957,0.000219198,0.000219198,0.000219198
51,2443.48,0.1737,0.93671,1,0.17676,0.0002091,0.0002091,0.0002091
52,2486.72,0.16076,0.92405,1,0.18797,0.000199002,0.000199002,0.000199002
53,2529.7,0.17861,0.94937,1,0.12212,0.000188904,0.000188904,0.000188904
54,2572.78,0.14308,0.93038,1,0.18639,0.000178806,0.000178806,0.000178806
55,2616.01,0.16384,0.93671,1,0.19966,0.000168708,0.000168708,0.000168708
56,2659.37,0.17541,0.94304,1,0.13144,0.00015861,0.00015861,0.00015861
57,2702.47,0.15058,0.94304,1,0.14226,0.000148512,0.000148512,0.000148512
58,2745.33,0.16171,0.94304,1,0.15081,0.000138414,0.000138414,0.000138414
59,2788.66,0.17169,0.94304,1,0.13088,0.000128316,0.000128316,0.000128316
60,2831.85,0.14464,0.94304,1,0.11527,0.000118218,0.000118218,0.000118218
61,2874.85,0.13275,0.94304,1,0.15746,0.00010812,0.00010812,0.00010812
62,2918.17,0.16189,0.94304,1,0.15865,9.8022e-05,9.8022e-05,9.8022e-05
63,2961.05,0.12957,0.93671,1,0.18175,8.7924e-05,8.7924e-05,8.7924e-05
64,3004.14,0.14958,0.93671,1,0.15809,7.7826e-05,7.7826e-05,7.7826e-05
65,3047.02,0.14119,0.93671,1,0.14909,6.7728e-05,6.7728e-05,6.7728e-05
66,3090.01,0.13846,0.93038,1,0.19816,5.763e-05,5.763e-05,5.763e-05
67,3133.09,0.13519,0.94304,1,0.13574,4.7532e-05,4.7532e-05,4.7532e-05
68,3176.41,0.13285,0.94304,1,0.13446,3.7434e-05,3.7434e-05,3.7434e-05
69,3219.52,0.12754,0.94304,1,0.15511,2.7336e-05,2.7336e-05,2.7336e-05
70,3262.73,0.14585,0.94304,1,0.14932,1.7238e-05,1.7238e-05,1.7238e-05
